Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2016-17,20,OKC,NBA,PF,81,1632,6.9,.469,.331,.139,3.1,16.4,9.8,7.2,1.2,1.6,14.0,15.4,,-1.0,1.8,0.8,.022,,-4.5,-0.1,-4.5,-1.0
2017-18,21,IND,NBA,C,74,1810,17.5,.567,.056,.339,10.4,25.2,17.8,12.7,1.1,1.6,15.3,22.1,,2.5,2.2,4.7,.126,,-0.6,-0.5,-1.1,0.4
2018-19,22,IND,NBA,C,74,1838,21.9,.630,.024,.416,11.5,29.8,20.8,18.2,1.3,1.5,16.2,23.5,,4.3,3.3,7.6,.197,,1.9,1.3,3.1,2.4
2019-20,23,IND,NBA,PF,62,2159,20.7,.586,.079,.349,9.7,29.3,19.6,21.7,1.1,1.2,14.8,23.3,,4.1,3.4,7.5,.168,,2.0,1.2,3.2,2.9
2020-21,24,IND,NBA,PF,62,2231,20.6,.601,.179,.363,7.3,28.6,18.0,27.5,1.6,1.2,16.9,24.1,,4.0,3.0,6.9,.149,,2.3,1.6,3.8,3.3
2021-22,25,TOT,NBA,PF,62,2136,21.9,.637,.162,.429,10.3,29.0,19.5,23.6,1.3,1.1,17.5,22.3,,5.3,1.8,7.1,.159,,3.2,0.9,4.1,3.2
2021-22,25,IND,NBA,PF,47,1632,22.2,.649,.189,.452,10.4,28.6,19.4,22.2,1.4,1.2,17.3,21.7,,4.4,1.3,5.7,.168,,3.6,1.0,4.6,2.7
2021-22,25,SAC,NBA,PF,15,504,21.0,.603,.084,.366,9.8,30.3,20.0,28.0,1.2,0.9,18.1,24.4,,0.9,0.5,1.4,.132,,1.8,0.5,2.3,0.5
2022-23,26,SAC,NBA,C,79,2736,23.5,.668,.088,.467,10.6,30.0,20.3,30.4,1.1,1.2,16.9,21.3,,9.6,3.0,12.6,.221,,4.1,1.8,5.8,5.4
Career,,,NBA,,494,14542,19.6,.605,.123,.372,9.1,27.4,18.3,21.3,1.2,1.3,16.1,21.9,,28.7,18.5,47.2,.156,,1.5,1.0,2.5,16.6
